mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tW_tj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(tW_tj)(fb),kappaSinglet,sigmaDoublet2(tW_tj)(fb),kappaDoublet2
700,7,1,432.38,27.7,-19.9,14.92809621817964,0.18602269007347919,14.92809621817964,0.18602269007347919
700,70,10,46.0939,28.8,-20.5,159.14107365538428,0.5882553971037894,159.14107365538428,0.5882553971037894
700,140,20,23.2099,29.3,-20.7,320.53251345050904,0.8319187607233497,320.53251345050904,0.8319187607233497
700,210,30,15.6174,29.8,-21,485.2774061936696,1.018888235610369,485.2774061936696,1.018888235610369
800,8,1,420.453,28.6,-20.4,8.092135899735265,0.16073765989229347,8.092135899735265,0.16073765989229347
800,80,10,44.1387,29.7,-20.9,84.95036516272803,0.5082971110251425,84.95036516272803,0.5082971110251425
800,160,20,21.8901,30.1,-21.1,168.52077550527164,0.7188406681268195,168.52077550527164,0.7188406681268195
800,240,30,14.5225,30.5,-21.4,251.55306120663866,0.8803964216360254,251.55306120663866,0.8803964216360254
900,9,1,398.638,29.4,-20.8,4.627751377793147,0.14165406576369624,4.627751377793147,0.14165406576369624
900,90,10,41.3257,30.5,-21.4,47.97461985893626,0.4479494876365591,47.97461985893626,0.4479494876365591
900,180,20,20.2458,30.8,-21.5,94.01264189016051,0.6334962406737009,94.01264189016051,0.6334962406737009
900,270,30,13.2572,31.2,-21.7,138.51143897247988,0.7758712718109672,138.51143897247988,0.7758712718109672
1000,10,1,370.892,30.3,-21.3,2.7563172077702833,0.12670730271040828,2.7563172077702833,0.12670730271040828
1000,100,10,38.0352,31.3,-21.8,28.26620047371859,0.4006836727413165,28.26620047371859,0.4006836727413165
1000,200,20,18.4346,31.6,-21.9,54.79935420377051,0.5666522842122327,54.79935420377051,0.5666522842122327
1000,300,30,11.948,31.9,-22.1,79.91337154372549,0.694004478951261,79.91337154372549,0.694004478951261
1100,11,1,339.594,31.1,-21.7,1.6926796886791693,0.11466606443435438,1.6926796886791693,0.11466606443435438
1100,110,10,34.67,32,-22.2,17.28098988984105,0.3626059339401868,17.28098988984105,0.3626059339401868
1100,220,20,16.6274,32.3,-22.3,33.15118907347484,0.5128022295751747,33.15118907347484,0.5128022295751747
1100,330,30,10.7122,32.6,-22.4,48.054709520669064,0.6280519007103674,48.054709520669064,0.6280519007103674
1200,12,1,307.912,31.8,-22,1.0687709298206576,0.10474799475805908,1.0687709298206576,0.10474799475805908
1200,120,10,31.1872,32.7,-22.5,10.825161975662796,0.33124224377084477,10.825161975662796,0.33124224377084477
1200,240,20,14.8925,32.9,-22.6,20.676909080976568,0.46844727357162347,20.676909080976568,0.46844727357162347
1200,360,30,9.52657,33.2,-22.7,29.760285306228468,0.5737283958242185,29.760285306228468,0.5737283958242185
1300,13,1,276.478,32.4,-22.4,0.6892880609575482,0.09643090831860213,0.6892880609575482,0.09643090831860213
1300,130,10,27.9465,33.3,-22.8,6.967349588592991,0.30494130712566064,6.967349588592991,0.30494130712566064
1300,260,20,13.2814,33.5,-22.9,13.24475792330903,0.4312521322648886,13.24475792330903,0.4312521322648886
1300,390,30,8.44618,33.7,-23,18.95147509468595,0.5281738372681095,18.95147509468595,0.5281738372681095
1400,14,1,247.624,33,-22.7,0.4550827468766478,0.08935227659895761,0.4550827468766478,0.08935227659895761
1400,140,10,24.8778,33.9,-23.1,4.572035650925545,0.2825567081740695,4.572035650925545,0.2825567081740695
1400,280,20,11.7779,34.1,-23.2,8.658157665554986,0.39959552883926586,8.658157665554986,0.39959552883926586
1400,420,30,7.45044,34.3,-23.3,12.323159429520915,0.4894025745769007,12.323159429520915,0.4894025745769007
1500,15,1,219.874,33.7,-23,0.304530909433119,0.08325217507404413,0.304530909433119,0.08325217507404413
1500,150,10,22.0693,34.5,-23.4,3.056652446197519,0.26326649339707653,3.056652446197519,0.26326649339707653
1500,300,20,10.3947,34.7,-23.5,5.758766283024718,0.3723150454805525,5.758766283024718,0.3723150454805525
1500,450,30,6.55766,34.8,-23.5,8.174268659313368,0.4559909424942329,8.174268659313368,0.4559909424942329
1600,16,1,194.951,34.3,-23.3,0.20740717460612743,0.0779391724772908,0.20740717460612743,0.0779391724772908
1600,160,10,19.4951,35.1,-23.7,2.0740717460612728,0.24646530397694688,2.0740717460612728,0.24646530397694688
1600,320,20,9.15678,35.1,-23.7,3.8967368585745046,0.34855457553860586,3.8967368585745046,0.34855457553860586
1600,480,30,5.76718,35.3,-23.8,5.522100724389556,0.42689042879097966,5.522100724389556,0.42689042879097966
1700,17,1,171.698,34.8,-23.6,0.14266662362635893,0.07326903978953105,0.14266662362635893,0.07326903978953105
1700,170,10,17.1519,35.6,-23.9,1.425178896537494,0.23169704770842214,1.425178896537494,0.23169704770842214
1700,340,20,8.04902,35.7,-24,2.6752239557852397,0.3276691072310566,2.6752239557852397,0.3276691072310566
1700,510,30,5.05816,35.8,-24,3.782615686063398,0.40131105859469723,3.782615686063398,0.40131105859469723
1800,18,1,150.955,35.4,-23.9,0.09940615221936934,0.0691309704650972,0.09940615221936934,0.0691309704650972
1800,180,10,15.0926,36.1,-24.2,0.9938705528045138,0.2186113235275369,0.9938705528045138,0.2186113235275369
1800,360,20,7.06368,36.2,-24.2,1.8606160758077988,0.30916309862097524,1.8606160758077988,0.30916309862097524
1800,540,30,4.42835,36.2,-24.2,2.6245219486772866,0.3786459194595714,2.6245219486772866,0.3786459194595714
1900,19,1,132.543,36,-24.1,0.07007484494554803,0.06543838169593338,0.07007484494554803,0.06543838169593338
1900,190,10,13.2464,36.6,-24.4,0.7003307802650525,0.20693433255462157,0.7003307802650525,0.20693433255462157
1900,380,20,6.19105,36.7,-24.5,1.3092713121028952,0.29264933961937006,1.3092713121028952,0.29264933961937006
1900,570,30,3.88069,36.7,-24.5,1.84653188043552,0.3584207778149589,1.84653188043552,0.3584207778149589
2000,20,1,115.948,36.6,-24.4,0.04978942486136345,0.062122607351889784,0.04978942486136345,0.062122607351889784
2000,200,10,11.5445,37.2,-24.7,0.49573430788975226,0.19644893342029296,0.49573430788975226,0.19644893342029296
2000,400,20,5.42296,37.1,-24.7,0.9314729342332057,0.27782074595670747,0.9314729342332057,0.27782074595670747
2000,600,30,3.39436,37.1,-24.6,1.3118200310067947,0.34025953377666307,1.3118200310067947,0.34025953377666307