mass,kL,G/MQ(singlet)(%),G/MQ(doublet1)(%),G/MQ(doublet2)(%)
700,0.05,0.07224506195459272,0.0389178458399412,0.033327216114651524
700,0.1,0.2889802478183709,0.1556713833597648,0.1333088644586061
700,0.2,1.1559209912734836,0.6226855334390592,0.5332354578344244
700,0.3,2.600822230365338,1.4010424502378829,1.199779780127455
700,0.4,4.623683965093934,2.4907421337562368,2.1329418313376975
800,0.05,0.09676197541630856,0.051222940363048114,0.04553903505326044
800,0.1,0.38704790166523423,0.20489176145219246,0.18215614021304177
800,0.2,1.548191606660937,0.8195670458087698,0.7286245608521671
800,0.3,3.4834311149871073,1.844025853069732,1.6394052619173753
800,0.4,6.192766426643748,3.2782681832350793,2.9144982434086684
900,0.05,0.12458963694874972,0.06516907929633607,0.05942055765241366
900,0.1,0.4983585477949989,0.2606763171853443,0.23768223060965463
900,0.2,1.9934341911799955,1.0427052687413771,0.9507289224386185
900,0.3,4.485226930154991,2.3460868546680986,2.1391400754868917
900,0.4,7.973736764719982,4.170821074965509,3.802915689754474
1000,0.05,0.15571724691744898,0.08075615896977036,0.07496108794767861
1000,0.1,0.6228689876697959,0.3230246358790814,0.29984435179071445
1000,0.2,2.4914759506791837,1.2920985435163257,1.1993774071628578
1000,0.3,5.605820889028161,2.907221722911732,2.6985991661164292
1000,0.4,9.965903802716735,5.168394174065303,4.797509628651431
1100,0.05,0.1901385575229092,0.0979841228450957,0.09215443467781353
1100,0.1,0.7605542300916368,0.3919364913803828,0.36861773871125414
1100,0.2,3.0422169203665472,1.5677459655215311,1.4744709548450166
1100,0.3,6.84498807082473,3.527428422423444,3.3175596484012866
1100,0.4,12.168867681466189,6.2709838620861245,5.897883819380066
1200,0.05,0.2278497587372399,0.11685293789011565,0.11099682084712424
1200,0.1,0.9113990349489596,0.4674117515604626,0.44398728338849697
1200,0.2,3.6455961397958383,1.8696470062418504,1.7759491335539879
1200,0.3,8.202591314540635,4.2067057640441625,3.9958855504964723
1200,0.4,14.582384559183353,7.478588024967402,7.1037965342159515
1300,0.05,0.26884842312015517,0.1373625837249192,0.131485839395236
1300,0.1,1.0753936924806207,0.5494503348996768,0.525943357580944
1300,0.2,4.301574769922483,2.197801339598707,2.103773430323776
1300,0.3,9.678543232325584,4.945053014097091,4.733490218228495
1300,0.4,17.20629907968993,8.791205358394828,8.415093721295104
1400,0.05,0.3131329460583725,0.15951304720693385,0.15361989885143865
1400,0.1,1.25253178423349,0.6380521888277354,0.6144795954057546
1400,0.2,5.01012713693396,2.5522087553109416,2.4579183816230183
1400,0.3,11.272786058101406,5.742469699449618,5.530316358651789
1400,0.4,20.04050854773584,10.208835021243766,9.831673526492073
1500,0.05,0.36070223304987936,0.183304319544394,0.17739791350548528
1500,0.1,1.4428089321995174,0.733217278177576,0.7095916540219411
1500,0.2,5.77123572879807,2.932869112710304,2.8383666160877645
1500,0.3,12.985280389795657,6.598955503598185,6.386324886197471
1500,0.4,23.08494291519228,11.731476450841216,11.353466464351058
1600,0.05,0.41155551710215216,0.20873639467157346,0.2028191224305787
1600,0.1,1.6462220684086086,0.8349455786862938,0.8112764897223148
1600,0.2,6.5848882736344345,3.3397823147451753,3.2451059588892592
1600,0.3,14.815998615677472,7.514510208176642,7.30148840750083
1600,0.4,26.339553094537738,13.359129258980701,12.980423835557037
1700,0.05,0.46569224796290637,0.23580926829163523,0.2298829796712711
1700,0.1,1.8627689918516255,0.9432370731665409,0.9195319186850844
1700,0.2,7.451075967406502,3.7729482926661637,3.6781276747403377
1700,0.3,16.76492092666463,8.489133658498869,8.275787268165761
1700,0.4,29.804303869626008,15.091793170664655,14.712510698961351
1800,0.05,0.5231120226601652,0.26452293729053994,0.2585890853696253
1800,0.1,2.092448090640661,1.0580917491621598,1.0343563414785013
1800,0.2,8.369792362562643,4.232366996648639,4.137425365914005
1800,0.3,18.83203281576595,9.522825742459437,9.309207073306512
1800,0.4,33.47916945025057,16.929467986594556,16.54970146365602
1900,0.05,0.5838145406610087,0.2948773993660156,0.2889371412949931
1900,0.1,2.3352581626440347,1.1795095974640624,1.1557485651799724
1900,0.2,9.341032650576139,4.7180383898562495,4.6229942607198895
1900,0.3,21.017323463796306,10.615586377176559,10.401737086619748
1900,0.4,37.364130602304556,18.872153559424998,18.491977042879558
2000,0.05,0.6477995741700222,0.32687265278577493,0.32092692138424733
2000,0.1,2.591198296680089,1.3074906111430997,1.2837076855369893
2000,0.2,10.364793186720355,5.229962444572399,5.134830742147957
2000,0.3,23.32078467012079,11.767415500287894,11.553369169832898
2000,0.4,41.45917274688142,20.919849778289596,20.53932296859183