mass,Gamma/MQ(%),kappaSinglet,BRsinglet(Wb)(%),BRsinglet(Zt)(%),BRsinglet(Ht)(%),kappaDoublet1,BRdoublet1(Wb)(%),kappaDoublet2,BRdoublet2(Zt)(%),BRdoublet2(Ht)(%)
600,1,0.22127620349551208,0.5777897361480925,0.22311307018718501,0.2602403579238091,0.2974609808158621,100,0.3310982807661673,0.49953904677082506,0.5826651940179558
600,10,0.6997367950407302,0.5777897361480925,0.22311307018718493,0.2602403579238092,0.9406542144057756,100,1.0470246965870087,0.499539046770825,0.5826651940179559
600,20,0.9895772656380832,0.5777897361480926,0.223113070187185,0.2602403579238092,1.3302859475160569,100,1.4807165260529225,0.49953904677082506,0.5826651940179559
600,30,1.2119796809359547,0.5777897361480926,0.223113070187185,0.2602403579238091,1.6292608917045912,100,1.813499971268087,0.499539046770825,0.5826651940179559
650,1,0.20205726514449626,0.5655818945414183,0.22728750671046372,0.25939079613933747,0.2736667101866655,100,0.2995944530882187,0.4996825233980624,0.570260325510313
650,10,0.6389611756411595,0.5655818945414184,0.22728750671046372,0.25939079613933735,0.8654101239550666,100,0.9474008461112374,0.49968252339806235,0.5702603255103128
650,20,0.9036275604215849,0.5655818945414183,0.2272875067104638,0.25939079613933747,1.2238747343122367,100,1.3398271255742575,0.49968252339806235,0.570260325510313
650,30,1.1067132202744294,0.5655818945414185,0.22728750671046377,0.2593907961393374,1.4989343040746552,100,1.6409464005984062,0.4996825233980623,0.5702603255103127
700,1,0.18196062965372217,0.532053358552767,0.22059062679752436,0.2473560146497086,0.24945937877399285,100,0.2659985466048654,0.47140123949879614,0.5285987605012039
700,10,0.5754100341841375,0.5320533585527669,0.22059062679752434,0.24735601464970866,0.7888598206164796,100,0.8411612615658234,0.471401239498796,0.5285987605012039
700,20,0.8137526742687734,0.532053358552767,0.22059062679752434,0.24735601464970855,1.1156162571270323,100,1.1895816642492498,0.4714012394987961,0.5285987605012039
700,30,0.9966394143918706,0.5320533585527671,0.2205906267975244,0.24735601464970863,1.366345289357413,100,1.45693404239074,0.4714012394987961,0.5285987605012039
800,1,0.15802464837853522,0.5242492655924005,0.22738126714864915,0.24836946725895034,0.21825083667889272,100,0.2291052804396251,0.47794202027198585,0.522057979728014
800,10,0.4997178153234052,0.5242492655924004,0.22738126714864915,0.24836946725895048,0.69016974514272,100,0.7244945101608381,0.47794202027198585,0.522057979728014
800,20,0.7067077117898133,0.5242492655924004,0.22738126714864915,0.24836946725895048,0.9760474139204172,100,1.0245899621343093,0.47794202027198607,0.522057979728014
800,30,0.8655366455874591,0.5242492655924004,0.22738126714864915,0.24836946725895045,1.1954090644340543,100,1.2548613014032977,0.4779420202719859,0.522057979728014
900,1,0.13975345806095826,0.5190101870165683,0.23207402762578483,0.24891578535764688,0.1939878911328378,100,0.20150908159388245,0.48249260454457676,0.5175073954554232
900,10,0.44193923835744675,0.5190101870165683,0.23207402762578488,0.2489157853576468,0.6134435744725486,100,0.6372276670453816,0.4824926045445768,0.5175073954554232
900,20,0.6249964646299372,0.5190101870165683,0.23207402762578488,0.24891578535764688,0.867540222769708,100,0.9011760090549455,0.48249260454457676,0.5175073954554233
900,30,0.7654612146933903,0.5190101870165682,0.23207402762578494,0.2489157853576469,1.0625154385631166,100,1.103710695311185,0.48249260454457676,0.5175073954554233
1000,1,0.1253245640045215,0.5153145810115233,0.23544886683568786,0.24923655215278886,0.1745822099980372,100,0.18001397626472251,0.4857766658775545,0.5142233341224455
1000,10,0.3963110690218405,0.5153145810115233,0.23544886683568786,0.249236552152789,0.5520774225396178,100,0.5692541756600129,0.4857766658775547,0.5142233341224455
1000,20,0.5604684887292666,0.5153145810115233,0.23544886683568786,0.249236552152789,0.7807553784355092,100,0.8050469756559065,0.4857766658775546,0.5142233341224455
1000,30,0.6864309071477639,0.5153145810115233,0.23544886683568783,0.24923655215278892,0.9562261455502892,100,0.985977154663881,0.4857766658775546,0.5142233341224454
1100,1,0.1136288609745443,0.5126068111408597,0.23795544457556173,0.2494377442835786,0.15870714058354793,100,0.1627604662956892,0.4882207015090898,0.5117792984909102
1100,10,0.35932600861018005,0.5126068111408596,0.23795544457556173,0.24943774428357857,0.5018760451765559,100,0.5146937865254464,0.48822070150908975,0.5117792984909103
1100,20,0.5081637146899081,0.5126068111408597,0.23795544457556178,0.24943774428357862,0.7097599097188576,100,0.7278869333734488,0.4882207015090898,0.5117792984909102
1100,30,0.6223709033937637,0.5126068111408596,0.2379554445755618,0.24943774428357862,0.8692748093475281,100,0.8914757886020827,0.48822070150908964,0.5117792984909102
1200,1,0.10395010776979453,0.5105619492434007,0.2398672885646399,0.24957076219195942,0.14547913879499677,100,0.1485853798701011,0.4900871278680526,0.5099128721319474
1200,10,0.32871910357251677,0.5105619492434007,0.2398672885646399,0.24957076219195937,0.4600454306319533,100,0.4698682273908531,0.4900871278680526,0.5099128721319474
1200,20,0.4648790144833793,0.5105619492434007,0.2398672885646399,0.24957076219195937,0.6506024873074792,100,0.6644940197043498,0.4900871278680526,0.5099128721319474
1200,30,0.569358188806095,0.5105619492434006,0.23986728856463987,0.24957076219195942,0.7968220596444465,100,0.8138356427032839,0.49008712786805264,0.5099128721319474
1300,1,0.09580399635564343,0.5089790876365378,0.24135834109138304,0.24966257127207928,0.13428690241668587,100,0.13672049783575732,0.491543913943782,0.5084560860562181
1300,10,0.3029588374303041,0.5089790876365377,0.241358341091383,0.2496625712720792,0.4246524715654968,100,0.4323481759931147,0.4915439139437821,0.5084560860562181
1300,20,0.42844849673472174,0.5089790876365377,0.241358341091383,0.2496625712720792,0.6005492845831807,100,0.6114326541567325,0.49154391394378205,0.508456086056218
1300,30,0.5247400990312865,0.5089790876365378,0.241358341091383,0.24966257127207922,0.7355196563111384,100,0.7488490073798053,0.4915439139437821,0.508456086056218
1400,1,0.08885075759234791,0.507728341038165,0.24254341573154295,0.24972824323029197,0.12469396424339865,100,0.12663644740398988,0.4927023754384913,0.5072976245615086
1400,10,0.2809707658233178,0.507728341038165,0.24254341573154298,0.24972824323029202,0.39431693748473423,100,0.40045960858872515,0.4927023754384913,0.5072976245615087
1400,20,0.3973526676576909,0.5077283410381649,0.24254341573154298,0.24972824323029197,0.557648360864335,100,0.5663354096487963,0.4927023754384914,0.5072976245615087
1400,30,0.4866556418475235,0.5077283410381651,0.242543415731543,0.24972824323029205,0.6829769700085205,100,0.6936163884548179,0.4927023754384914,0.5072976245615085
1500,1,0.08284470350857119,0.5067226089866307,0.2435007358792282,0.2497766551341412,0.11638033606317565,100,0.11795575719154978,0.49363854965862114,0.5063614503413788
1500,10,0.2619779551684276,0.5067226089866306,0.24350073587922824,0.2497766551341412,0.3680269368154687,100,0.3730088558550835,0.4936385496586211,0.5063614503413789
1500,20,0.37049277724196095,0.5067226089866306,0.24350073587922824,0.2497766551341412,0.520468685363062,100,0.52751418283553,0.4936385496586211,0.5063614503413788
1500,30,0.45375912881471814,0.5067226089866306,0.2435007358792282,0.24977665513414118,0.6374413531183327,100,0.6460702900141403,0.49363854965862103,0.5063614503413789
1600,1,0.07760361925420972,0.5059016618450691,0.24428506682074425,0.2498132713341867,0.10910607262232529,100,0.11040157767026838,0.4944057649190989,0.5055942350809012
1600,10,0.2454041915158001,0.505901661845069,0.24428506682074422,0.24981327133418674,0.3450236960422881,100,0.3491204427140339,0.49440576491909893,0.5055942350809012
1600,20,0.34705393590484895,0.505901661845069,0.24428506682074425,0.2498132713341867,0.48793719028309623,100,0.49373086498788593,0.494405764919099,0.5055942350809011
1600,30,0.425052528095729,0.505901661845069,0.2442850668207443,0.24981327133418674,0.5975985713604439,100,0.6046943447416464,0.494405764919099,0.5055942350809011
1700,1,0.07298942184893216,0.5052227473243056,0.2449356679561074,0.24984158471958687,0.10268771156157992,100,0.1037659965263672,0.49504229758244866,0.5049577024175514
1700,10,0.23081281814148397,0.5052227473243057,0.24493566795610738,0.24984158471958684,0.32472705624499837,100,0.32813689270044066,0.49504229758244855,0.5049577024175513
1700,20,0.3264186177852414,0.5052227473243058,0.2449356679561075,0.24984158471958684,0.45923340701116755,100,0.4640556439719282,0.4950422975824486,0.5049577024175513
1700,30,0.3997795280592057,0.5052227473243057,0.2449356679561074,0.24984158471958678,0.5624437600086137,100,0.5683497699949402,0.49504229758244866,0.5049577024175513
1800,1,0.06889551061579145,0.5046548256952248,0.24548127228386413,0.24986390202091108,0.09698257433821751,100,0.09788969041876988,0.4955761860977065,0.5044238139022935
1800,10,0.2178667341062107,0.5046548256952247,0.24548127228386415,0.24986390202091105,0.3066858282553644,100,0.3095543811720746,0.4955761860977065,0.5044238139022936
1800,20,0.30811009016293617,0.5046548256952248,0.24548127228386415,0.24986390202091108,0.43371925770636205,100,0.4377760041455586,0.4955761860977065,0.5044238139022936
1800,30,0.37735625275105616,0.5046548256952247,0.24548127228386413,0.24986390202091105,0.5311954364996339,100,0.536163915895576,0.49557618609770654,0.5044238139022936
1900,1,0.06523824710921508,0.5041749121279039,0.24594329721626507,0.2498817906558311,0.09187802853813333,100,0.09264842368959574,0.49602834393024703,0.5039716560697528
1900,10,0.2063014514220152,0.5041749121279039,0.24594329721626515,0.24988179065583094,0.2905438371064519,100,0.2929800404834234,0.49602834393024714,0.5039716560697529
1900,20,0.2917543105382681,0.5041749121279039,0.24594329721626515,0.24988179065583094,0.4108910348998635,100,0.41433634675627584,0.49602834393024714,0.5039716560697529
1900,30,0.35732459553813295,0.504174912127904,0.24594329721626515,0.249881790655831,0.5032366876943903,100,0.507456315720876,0.49602834393024714,0.5039716560697528
2000,1,0.06195106839685448,0.5037656880110104,0.24633796922986684,0.2498963427591227,0.0872839734594984,100,0.08794383607832325,0.49641462365329664,0.5035853763467034
2000,10,0.1959064796149362,0.5037656880110103,0.24633796922986687,0.24989634275912265,0.2760161593617015,100,0.27810282817999155,0.4964146236532968,0.5035853763467032
2000,20,0.2770536004282111,0.5037656880110104,0.2463379692298669,0.24989634275912265,0.39034579600345176,100,0.39329679134645856,0.4964146236532968,0.5035853763467033
2000,30,0.339319976225026,0.5037656880110104,0.24633796922986692,0.24989634275912267,0.478074011724495,100,0.48168822813634304,0.49641462365329675,0.5035853763467032