mass,sigma_1%(singlet)(pb),sigma_1%(singlet)_up(pb),sigma_1%(singlet)_do(pb),sigma_2%(singlet)(pb),sigma_2%(singlet)_up(pb),sigma_2%(singlet)_do(pb),sigma_3%(singlet)(pb),sigma_3%(singlet)_up(pb),sigma_3%(singlet)_do(pb),sigma_4%(singlet)(pb),sigma_4%(singlet)_up(pb),sigma_4%(singlet)_do(pb),sigma_5%(singlet)(pb),sigma_5%(singlet)_up(pb),sigma_5%(singlet)_do(pb)
600,0.6996292,0.885031,0.565300396,1.399258,1.770061883,1.130600792,2.098888,2.655092824,1.695901187,2.798517,3.528929698,2.266798617,3.498146,4.425154707,2.826501979
700,0.3546924,0.453652,0.28375392,0.709385,0.907303158,0.567507839,1.064077,1.360954737,0.851261759,1.418770,1.804674928,1.140690757,1.773462,2.268257894,1.418769598
800,0.1835915,0.237017,0.14558805,0.367183,0.474033221,0.291176099,0.550774,0.711049831,0.436764149,0.734366,0.940722782,0.586758394,0.917957,1.185083052,0.727940248
900,0.1007023,0.131215,0.079252709,0.201405,0.26243019,0.158505418,0.302107,0.393645285,0.237758127,0.402809,0.51962386,0.3198305,0.503511,0.656075475,0.396263545
1000,0.0580193,0.076179,0.045371071,0.116039,0.15235861,0.090742142,0.174058,0.228537915,0.136113213,0.232077,0.301236063,0.183340901,0.290096,0.380896524,0.226855356
1100,0.0347315,0.045950,0.026986369,0.069463,0.091899526,0.053972737,0.104194,0.137849289,0.080959106,0.138926,0.181298384,0.109195808,0.173657,0.229748814,0.134931843
1200,0.0214483,0.028569,0.016579542,0.042897,0.057138291,0.033159083,0.064345,0.085707436,0.049738625,0.085793,0.11264651,0.067090305,0.107242,0.142845727,0.082897708
1300,0.0135619,0.018173,0.010429111,0.027124,0.036345926,0.020858221,0.040686,0.054518888,0.031287332,0.054248,0.07155265,0.042204672,0.067810,0.090864814,0.052145554
1400,0.0087855,0.011843,0.0067209,0.017571,0.023685683,0.013441801,0.026356,0.035528524,0.020162701,0.035142,0.046598242,0.027235021,0.043927,0.059214207,0.033604502
1500,0.0057973,0.007861,0.004411711,0.011595,0.015722157,0.008823423,0.017392,0.023583235,0.013235134,0.023189,0.030887777,0.017901925,0.028986,0.039305391,0.022058557
1600,0.0039020,0.005318,0.002957749,0.007804,0.010636972,0.005915499,0.011706,0.015955458,0.008873248,0.015608,0.021071038,0.011909039,0.019510,0.026592431,0.014788747
1700,0.0026543,0.003636,0.002001378,0.005309,0.007272914,0.004002757,0.007963,0.01090937,0.006004135,0.010617,0.014397184,0.008079835,0.013272,0.018182284,0.010006892
1800,0.0018317,0.002522,0.001375624,0.003663,0.005044566,0.002751248,0.005495,0.007566849,0.004126873,0.007327,0.00992794,0.005575766,0.009159,0.012611415,0.006878121
1900,0.0012759,0.001766,0.00095441,0.002552,0.003531826,0.001908819,0.003828,0.005297739,0.002863229,0.005104,0.006941161,0.003868677,0.006380,0.008829565,0.004772048
2000,0.0008979,0.001247,0.000668966,0.001796,0.002494481,0.001337933,0.002694,0.003741722,0.002006899,0.003592,0.004884802,0.002722559,0.004490,0.006236204,0.003344832