mass,mass1,sigmaHat(Ttj)(pb)_G/MQ=1%(doublet),sigmaHat(Ttj)(pb)_G/MQ=1%(doublet)_Down,sigmaHat(Ttj)(pb)_G/MQ=1%(doublet)_Up,sigmaHat(Ttj)(pb)_G/MQ=1%(singlet),sigmaHat(Ttj)(pb)_G/MQ=1%(singlet)_Down,sigmaHat(Ttj)(pb)_G/MQ=1%(singlet)_Up,sigmaHat(Ttj)(pb)_G/MQ=2%(doublet),sigmaHat(Ttj)(pb)_G/MQ=2%(doublet)_Down,sigmaHat(Ttj)(pb)_G/MQ=2%(doublet)_Up,sigmaHat(Ttj)(pb)_G/MQ=2%(singlet),sigmaHat(Ttj)(pb)_G/MQ=2%(singlet)_Down,sigmaHat(Ttj)(pb)_G/MQ=2%(singlet)_Up,sigmaHat(Ttj)(pb)_G/MQ=3%(doublet),sigmaHat(Ttj)(pb)_G/MQ=3%(doublet)_Down,sigmaHat(Ttj)(pb)_G/MQ=3%(doublet)_Up,sigmaHat(Ttj)(pb)_G/MQ=3%(singlet),sigmaHat(Ttj)(pb)_G/MQ=3%(singlet)_Down,sigmaHat(Ttj)(pb)_G/MQ=3%(singlet)_Up,sigmaHat(Ttj)(pb)_G/MQ=4%(singlet),sigmaHat(Ttj)(pb)_G/MQ=4%(singlet)_Down,sigmaHat(Ttj)(pb)_G/MQ=4%(singlet)_Up,sigmaHat(Ttj)(pb)_G/MQ=5%(doublet),sigmaHat(Ttj)(pb)_G/MQ=5%(doublet)_Down,sigmaHat(Ttj)(pb)_G/MQ=5%(doublet)_Up,sigmaHat(Ttj)(pb)_G/MQ=5%(singlet),sigmaHat(Ttj)(pb)_G/MQ=5%(singlet)_Down,sigmaHat(Ttj)(pb)_G/MQ=5%(singlet)_Up
600,600,0.06769818431561164,0.05483552929564543,0.08536741042198628,0.03746160952452523,0.030343903714865436,0.04723908961042632,0.1353963686312232,0.1096710585912908,0.17073482084397248,0.07492321904905051,0.06068780742973092,0.0944781792208527,0.20309455294683487,0.16450658788693626,0.2561022312659588,0.11238482857357579,0.09103171114459639,0.14171726883127908,0.14984643809810103,0.12137561485946184,0.1889563584417054,0.33849092157805816,0.2741776464782271,0.4268370521099314,0.18730804762262637,0.15171951857432736,0.23619544805213188
700,700,0.04329513970101576,0.03480929231961667,0.05507141769969205,0.023601746607325575,0.018975804272289763,0.030021421684518133,0.08659027940203151,0.06961858463923334,0.11014283539938409,0.047203493214651136,0.03795160854457952,0.060042843369036245,0.12988541910304724,0.10442787695884999,0.16521425309907609,0.07080523982197671,0.056927412816869284,0.09006426505355439,0.09440698642930233,0.07590321708915908,0.12008568673807256,0.2164756985050789,0.17404646159808343,0.27535708849846036,0.11800873303662784,0.0948790213614488,0.15010710842259062
800,800,0.025562816457907988,0.02042469034986848,0.032745967882580135,0.013600782350497895,0.010867025098047817,0.017422602190987804,0.05112563291581598,0.04084938069973697,0.06549193576516028,0.027201564700995783,0.02173405019609563,0.0348452043819756,0.07668844937372399,0.06127407104960546,0.09823790364774045,0.0408023470514937,0.03260107529414347,0.052267806572963434,0.0544031294019916,0.04346810039219129,0.06969040876395124,0.12781408228954,0.10212345174934245,0.16372983941290076,0.06800391175248947,0.05433512549023908,0.08711301095493902
900,900,0.01415614481660221,0.011239978984382155,0.018261426813416852,0.007421348523723377,0.005892550727836361,0.009573539595603156,0.02831228963320442,0.02247995796876431,0.036522853626833704,0.014842697047446753,0.011785101455672723,0.019147079191206312,0.042468434449806636,0.03371993695314647,0.05478428044025056,0.022264045571170135,0.01767765218350909,0.028720618786809475,0.029685394094893507,0.023570202911345445,0.038294158382412624,0.07078072408301107,0.0561998949219108,0.09130713406708428,0.03710674261861688,0.029462753639181802,0.04786769797801577
1000,1000,0.008218677634939052,0.006492755331601851,0.01066784357015089,0.004265577416338602,0.0033698061589074956,0.005536719486407505,0.01643735526987811,0.012985510663203708,0.021335687140301787,0.008531154832677208,0.006739612317814995,0.011073438972815016,0.02465603290481715,0.01947826599480555,0.032003530710452664,0.012796732249015806,0.010109418476722488,0.016610158459222518,0.01706230966535442,0.013479224635629991,0.022146877945630035,0.04109338817469527,0.032463776658009265,0.05333921785075446,0.02132788708169302,0.016849030794537485,0.027683597432037542
1100,1100,0.004943081444974289,0.0038852620157497917,0.0064507212856914475,0.002547241943722762,0.0020021321677660907,0.003324150736558204,0.009886162889948575,0.007770524031499581,0.01290144257138289,0.005094483887445517,0.004004264335532176,0.006648301473116399,0.014829244334922874,0.01165578604724938,0.01935216385707435,0.007641725831168277,0.006006396503298266,0.0099724522096746,0.010188967774891047,0.008008528671064363,0.013296602946232815,0.02471540722487145,0.01942631007874896,0.03225360642845724,0.012736209718613806,0.010010660838830452,0.016620753682791017
1200,1200,0.003070658703298649,0.0024012551059795434,0.004031774877431126,0.0015740405659998478,0.001230899722611881,0.0020667152631578,0.0061413174065972995,0.004802510211959089,0.008063549754862254,0.003148081131999694,0.002461799445223761,0.0041334305263155974,0.009211976109895947,0.00720376531793863,0.012095324632293377,0.004722121697999542,0.003692699167835642,0.006200145789473399,0.006296162263999391,0.004923598890447524,0.0082668610526312,0.01535329351649325,0.012006275529897721,0.020158874387155638,0.007870202829999234,0.006154498613059401,0.010333576315788994
1300,1300,0.001952711669390903,0.0015192096787861225,0.0025756266919266008,0.0009969802762345547,0.0007756506549104836,0.0013150169843533777,0.0039054233387818098,0.003038419357572248,0.005151253383853207,0.0019939605524691086,0.0015513013098209666,0.002630033968706754,0.0058581350081727155,0.004557629036358373,0.0077268800757798115,0.0029909408287036635,0.0023269519647314504,0.003945050953060132,0.003987921104938219,0.0031026026196419344,0.005260067937413511,0.009763558346954523,0.007596048393930619,0.012878133459633016,0.004984901381172775,0.003878253274552419,0.0065750849217668895
1400,1400,0.0012716650852444115,0.000985540441064419,0.0016862279030340898,0.0006472509348669405,0.000501619474521879,0.0008582547396335632,0.0025433301704888243,0.0019710808821288388,0.0033724558060681813,0.0012945018697338813,0.001003238949043758,0.0017165094792671266,0.003814995255733235,0.0029566213231932573,0.00505868370910227,0.001941752804600823,0.0015048584235656378,0.002574764218900691,0.002589003739467762,0.002006477898087516,0.0034330189585342528,0.006358325426222058,0.004927702205322095,0.00843113951517045,0.0032362546743347023,0.0025080973726093942,0.004291273698167815
1500,1500,0.0008426232474269002,0.0006505051470135669,0.0011223741655726311,0.0004278237035362514,0.0003302798991299861,0.0005698611731102869,0.0016852464948538006,0.001301010294027134,0.0022447483311452627,0.0008556474070725025,0.0006605597982599719,0.0011397223462205734,0.0025278697422807016,0.0019515154410407016,0.003367122496717895,0.0012834711106087541,0.0009908396973899582,0.0017095835193308606,0.0017112948141450057,0.0013211195965199445,0.0022794446924411477,0.004213116237134503,0.0032525257350678365,0.005611870827863159,0.0021391185176812566,0.0016513994956499302,0.002849305865551434
1600,1600,0.0005798331275629292,0.00044241267633051497,0.0007827747222099545,0.0002938145551755648,0.00022418050559895594,0.0003966496494870125,0.001159666255125859,0.0008848253526610304,0.0015655494444199098,0.00058762911035113,0.0004483610111979122,0.0007932992989740256,0.001739499382688788,0.0013272380289915454,0.002348324166629864,0.0008814436655266962,0.0006725415167968692,0.00118994894846104,0.001175258220702261,0.0008967220223958251,0.0015865985979480524,0.002899165637814648,0.0022120633816525765,0.003913873611049775,0.001469072775877826,0.0011209025279947814,0.0019832482474350654
1700,1700,0.00039930827780816343,0.0003038735994120124,0.0005410627164300615,0.0002020107213316425,0.00015373015893337995,0.0002737245274043756,0.0007986165556163275,0.0006077471988240252,0.0010821254328601238,0.00040402144266328506,0.00030746031786675995,0.0005474490548087513,0.001197924833424492,0.0009116207982360384,0.0016231881492901866,0.0006060321639949277,0.00046119047680014,0.000821173582213127,0.00080804288532657,0.0006149206357335198,0.0010948981096175023,0.0019965413890408205,0.0015193679970600645,0.002705313582150312,0.0010100536066582125,0.0007686507946668997,0.0013686226370218778
1800,1800,0.00027905762715160033,0.00021236285426236786,0.00037812308479041846,0.00014098626105133315,0.00010729054466006452,0.00019103638372455642,0.0005581152543032011,0.00042472570852473604,0.0007562461695808375,0.00028197252210266646,0.00021458108932012918,0.00038207276744911306,0.0008371728814548013,0.0006370885627871038,0.0011343692543712557,0.00042295878315400006,0.0003218716339801941,0.0005731091511736701,0.0005639450442053332,0.0004291621786402586,0.0007641455348982266,0.0013952881357580014,0.001061814271311839,0.0018906154239520918,0.0007049313052566668,0.0005364527233003235,0.0009551819186227836
1900,1900,0.0001969049081057849,0.00014925392034418497,0.00026779067502386743,9.9369012078659e-05,7.532171115562352e-05,0.00013514185642697624,0.0003938098162115694,0.0002985078406883696,0.0005355813500477343,0.00019873802415731827,0.00015064342231124725,0.0002702837128539528,0.0005907147243173548,0.0004477617610325549,0.0008033720250716025,0.00029810703623597726,0.00022596513346687076,0.00040542556928092904,0.0003974760483146367,0.0003012868446224946,0.0005405674257079058,0.0009845245405289246,0.0007462696017209249,0.0013389533751193374,0.0004968450603932953,0.0003766085557781178,0.0006757092821348816
2000,2000,0.00014038994128055224,0.0001064155754906586,0.00019093032014155104,7.078108630876387e-05,5.3652063422043015e-05,9.626227737991886e-05,0.0002807798825611045,0.0002128311509813172,0.00038186064028310207,0.00014156217261752802,0.00010730412684408623,0.00019252455475983807,0.000421169823841657,0.000319246726471976,0.0005727909604246534,0.00021234325892629196,0.00016095619026612932,0.000288786832139757,0.000283124345235056,0.00021460825368817244,0.0003850491095196761,0.0007019497064027612,0.0005320778774532929,0.0009546516007077551,0.00035390543154382,0.00026826031711021556,0.00048131138689959515
