mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tW_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(tW_bj)(fb),kappaSinglet,sigmaDoublet2(tW_bj)(fb),kappaDoublet2
700,7,1,1966.91,27.8,-19.9,67.90837164646773,0.18602269007347919,319.1108545693814,0.2738864112517675
700,70,10,194.915,28.2,-20.2,672.9520038777197,0.5882553971037894,3162.2947780219215,0.8661048797251538
700,140,20,95.2725,28.7,-20.4,1315.7288005425967,0.8319187607233497,6182.7920732441,1.2248572673448308
700,210,30,62.4965,29.1,-20.6,1941.9454849195556,1.018888235610369,9125.4711045934,1.500137656367298
800,8,1,1841.08,29,-20.6,35.43385244553993,0.16073765989229347,159.97796811218274,0.23430313113498702
800,80,10,179.904,29.4,-20.8,346.2474086059495,0.5082971110251425,1563.2496347390734,0.7409315572956717
800,160,20,87.0941,29.7,-21,670.4932948654267,0.7188406681268195,3027.166044399864,1.0478354571177568
800,240,30,56.4893,30.1,-21.1,978.4855459060199,0.8803964216360254,4417.699986242627,1.2833311021672342
900,9,1,1684.9,30,-21.1,19.55984702021301,0.14165406576369624,85.99156399532298,0.20511699372746975
900,90,10,163.259,30.4,-21.3,189.52585106967516,0.4479494876365591,833.21839553163,0.6486368869852752
900,180,20,78.3608,30.7,-21.5,363.8732887130412,0.6334962406737009,1599.7074598907247,0.9173110826300407
900,270,30,50.2774,31,-21.6,525.2990844065837,0.7758712718109672,2309.388707731385,1.1234720439218087
1000,10,1,1514.39,31.1,-21.7,11.254325292201612,0.12670730271040828,48.56474751274539,0.18262156651445915
1000,100,10,146.438,31.4,-21.8,108.8267148580894,0.4006836727413165,469.6098426608337,0.5775001000536278
1000,200,20,69.6101,31.6,-21.9,206.92548393021198,0.5666522842122327,892.9263745367989,0.81670847376766
1000,300,30,44.461,31.9,-22.1,297.3743230838282,0.694004478951261,1283.2318724025877,1.0002595146689937
1100,11,1,1352.91,32,-22.1,6.743473905931599,0.11466606443435438,28.707250067061107,0.16470693467129546
1100,110,10,129.894,32.3,-22.3,64.74464669025132,0.3626059339401868,275.62066510047504,0.5208490599858504
1100,220,20,61.5045,32.5,-22.4,122.62574475681905,0.5128022295751747,522.0229170453496,0.7365918045812673
1100,330,30,39.0087,32.7,-22.5,174.9922282331289,0.6280519007103674,744.9492243548127,0.9021370349699827
1200,12,1,1198.39,32.9,-22.6,4.159644296382662,0.10474799475805908,17.52799580312792,0.15007720549419432
1200,120,10,114.817,33.2,-22.7,39.85329309972281,0.33124224377084477,167.93463681503832,0.4745857942347898
1200,240,20,54.1308,33.3,-22.8,75.15579184693816,0.46844727357162347,316.6930415707596,0.6711656667164467
1200,360,30,34.144,33.5,-22.9,106.66327770602271,0.5737283958242185,449.45994194861413,0.8220067081650847
1300,13,1,1054.97,33.7,-23,2.6301486037528656,0.09643090831860213,10.996065231945964,0.1378892828028202
1300,130,10,101.023,33.8,-23.1,25.186071869050853,0.30494130712566064,105.29735423062999,0.4360441985839982
1300,260,20,47.3987,34.1,-23.1,47.26793164723205,0.4312521322648886,197.61668942602628,0.6166596194315974
1300,390,30,29.7614,34.1,-23.2,66.7784052533792,0.5281738372681095,279.18563202236373,0.7552507062931381
1400,14,1,928.169,34.4,-23.3,1.7057865880760803,0.08935227659895761,7.087405377573895,0.1275693277462226
1400,140,10,88.2075,34.6,-23.4,16.210751540691497,0.2825567081740695,67.35436217352115,0.4034096352545779
1400,280,20,41.4053,34.7,-23.5,30.437821308518817,0.39959552883926586,126.46668694173607,0.5705073773690076
1400,420,30,25.9458,34.8,-23.5,42.914811732792124,0.4894025745769007,178.30757351399487,0.6987259845237579
1500,15,1,812.985,35.2,-23.7,1.126004263375771,0.08325217507404413,4.655225057270732,0.11871230854175392
1500,150,10,77.4313,35.3,-23.8,10.724425901920492,0.26326649339707653,44.33785715321284,0.37540128128860434
1500,300,20,36.0918,35.4,-23.8,19.99521303488042,0.3723150454805525,82.66595409361986,0.5308975833305815
1500,450,30,22.5371,35.5,-23.8,28.09299509303796,0.4559909424942329,116.1445111218468,0.6502140924183184
1600,16,1,709.35,36,-24.1,0.754673119434404,0.0779391724772908,3.107405561527813,0.11102366371926257
1600,160,10,67.4077,36,-24.1,7.171463908211524,0.24646530397694688,29.528873175413892,0.3510876515294707
1600,320,20,31.4532,36,-24.1,13.385146717526862,0.34855457553860586,55.114033189735196,0.4965129183746966
1600,480,30,19.5453,36.1,-24.2,18.7147124397732,0.42689042879097966,77.05879541771569,0.6081016503590803
1700,17,1,617.265,36.6,-24.4,0.5128953944293144,0.07326903978953105,2.1048113702820794,0.10428373935477359
1700,170,10,58.6813,36.7,-24.4,4.875923389326292,0.23169704770842214,20.00973122774396,0.32977413928042254
1700,340,20,27.3224,36.7,-24.4,9.081048253022928,0.3276691072310566,37.26665090902292,0.4663710602902876
1700,510,30,17.0141,36.7,-24.4,12.723559860552307,0.40131105859469723,52.214727907146305,0.5711855642559872
1800,18,1,537.18,37.3,-24.7,0.35374116027425934,0.0691309704650972,1.4476201476303188,0.09832521603843415
1800,180,10,50.9988,37.3,-24.7,3.3583481672055737,0.2186113235275369,13.743417548115925,0.31093163410957
1800,360,20,23.7708,37.2,-24.7,6.261372629396012,0.30916309862097524,25.623507208228745,0.4397237339285827
1800,540,30,14.7621,37.2,-24.6,8.748959648304442,0.3786459194595714,35.80349611526898,0.5385493879581914
1900,19,1,465.732,37.9,-25,0.24623026252748142,0.06543838169593338,1.0052741146107413,0.09301828295785973
1900,190,10,44.3084,37.9,-25,2.3425637414162375,0.20693433255462157,9.563888154522036,0.2941496381848609
1900,380,20,20.6461,37.8,-24.9,4.366197403801873,0.29264933961937006,17.825693658726333,0.41599040768816914
1900,570,30,12.801,37.7,-24.9,6.091044273429491,0.3584207778149589,24.867654674832085,0.5094821183641814
2000,20,1,403.475,38.5,-25.3,0.17325687546088436,0.062122607351889784,0.705926514747173,0.08826061094591095
2000,200,10,38.4156,38.5,-25.3,1.6496107131681377,0.19644893342029296,6.721256737077012,0.27910455826706687
2000,400,20,17.8881,38.3,-25.2,3.0725435914808537,0.27782074595670747,12.51892591952304,0.3947134516214377
2000,600,30,11.1227,38.3,-25.2,4.298595511047524,0.34025953377666307,17.514413435827596,0.483423275542628